round(f.occupancyPercentage * f.seatsCapacity/100),f.operator,entrada.iata,salida.iata,entrada.airportName,salida.airportName
115.0,IBS,MAD,LPA,Adolfo Suárez Madrid–Barajas Airport,Gran Canaria Airport
43.0,LGL,MAD,LUX,Adolfo Suárez Madrid–Barajas Airport,Luxembourg-Findel International Airport
58.0,ANE,MAD,LYS,Adolfo Suárez Madrid–Barajas Airport,Lyon Saint-Exupéry Airport
103.0,RYR,MAD,MAH,Adolfo Suárez Madrid–Barajas Airport,Menorca Airport
87.0,IBS,MAD,MAH,Adolfo Suárez Madrid–Barajas Airport,Menorca Airport
103.0,RYR,MAD,MAN,Adolfo Suárez Madrid–Barajas Airport,Manchester Airport
168.0,AMX,MAD,MEX,Adolfo Suárez Madrid–Barajas Airport,Licenciado Benito Juarez International Airport
103.0,MAY,MAD,MLA,Adolfo Suárez Madrid–Barajas Airport,Malta International Airport
58.0,ANE,MAD,MRS,Adolfo Suárez Madrid–Barajas Airport,Marseille Provence Airport
96.0,IBE,MAD,MUC,Adolfo Suárez Madrid–Barajas Airport,Munich Airport
72.0,CLH,MAD,MUC,Adolfo Suárez Madrid–Barajas Airport,Munich Airport
96.0,IBE,MAD,MXP,Adolfo Suárez Madrid–Barajas Airport,Malpensa International Airport
103.0,RYR,MAD,MXP,Adolfo Suárez Madrid–Barajas Airport,Malpensa International Airport
97.0,ABR,MAD,MXP,Adolfo Suárez Madrid–Barajas Airport,Malpensa International Airport
5.0,UNKNOWN,MAD,NTE,Adolfo Suárez Madrid–Barajas Airport,Nantes Atlantique Airport
58.0,ANE,MAD,OPO,Adolfo Suárez Madrid–Barajas Airport,Francisco de Sá Carneiro Airport
107.0,IBE,MAD,ORY,Adolfo Suárez Madrid–Barajas Airport,Paris-Orly Airport
107.0,IBE,MAD,ORY,Adolfo Suárez Madrid–Barajas Airport,Paris-Orly Airport
107.0,IBE,MAD,ORY,Adolfo Suárez Madrid–Barajas Airport,Paris-Orly Airport
103.0,TVF,MAD,ORY,Adolfo Suárez Madrid–Barajas Airport,Paris-Orly Airport
103.0,AEA,MAD,ORY,Adolfo Suárez Madrid–Barajas Airport,Paris-Orly Airport
103.0,RYR,MAD,OTP,Adolfo Suárez Madrid–Barajas Airport,Henri Coandă International Airport
87.0,WZZ,MAD,OTP,Adolfo Suárez Madrid–Barajas Airport,Henri Coandă International Airport
96.0,IBE,MAD,OVD,Adolfo Suárez Madrid–Barajas Airport,Asturias Airport
96.0,IBE,MAD,OVD,Adolfo Suárez Madrid–Barajas Airport,Asturias Airport
17.0,SWT,MAD,PMI,Adolfo Suárez Madrid–Barajas Airport,Palma De Mallorca Airport
45.0,SWT,MAD,PMI,Adolfo Suárez Madrid–Barajas Airport,Palma De Mallorca Airport
45.0,SWT,MAD,PMI,Adolfo Suárez Madrid–Barajas Airport,Palma De Mallorca Airport
103.0,RYR,MAD,PMI,Adolfo Suárez Madrid–Barajas Airport,Palma De Mallorca Airport
103.0,RYR,MAD,PMI,Adolfo Suárez Madrid–Barajas Airport,Palma De Mallorca Airport
103.0,AEA,MAD,PMI,Adolfo Suárez Madrid–Barajas Airport,Palma De Mallorca Airport
103.0,AEA,MAD,PMI,Adolfo Suárez Madrid–Barajas Airport,Palma De Mallorca Airport
103.0,AEA,MAD,PMI,Adolfo Suárez Madrid–Barajas Airport,Palma De Mallorca Airport
103.0,AEA,MAD,PMI,Adolfo Suárez Madrid–Barajas Airport,Palma De Mallorca Airport
115.0,IBS,MAD,PMI,Adolfo Suárez Madrid–Barajas Airport,Palma De Mallorca Airport
107.0,IBS,MAD,PMI,Adolfo Suárez Madrid–Barajas Airport,Palma De Mallorca Airport
103.0,RYR,MAD,PMO,Adolfo Suárez Madrid–Barajas Airport,Falcone–Borsellino Airport
58.0,ANE,MAD,PNA,Adolfo Suárez Madrid–Barajas Airport,Pamplona Airport
58.0,ANE,MAD,PNA,Adolfo Suárez Madrid–Barajas Airport,Pamplona Airport
103.0,MAY,MAD,PSA,Adolfo Suárez Madrid–Barajas Airport,Pisa International Airport
188.0,CES,MAD,PVG,Adolfo Suárez Madrid–Barajas Airport,Shanghai Pudong International Airport
87.0,IBS,MAD,SCQ,Adolfo Suárez Madrid–Barajas Airport,Santiago de Compostela Airport
87.0,IBS,MAD,SCQ,Adolfo Suárez Madrid–Barajas Airport,Santiago de Compostela Airport
160.0,IBE,MAD,SDQ,Adolfo Suárez Madrid–Barajas Airport,Las Américas International Airport
96.0,IBE,MAD,SDR,Adolfo Suárez Madrid–Barajas Airport,Santander Airport
97.0,AWC,MAD,SEN,Adolfo Suárez Madrid–Barajas Airport,Southend Airport
